,Address,Main_Index
172,1506 S 1ST ST,15601
173,2400 SAN GABRIEL ST,15602
174,605 W GIBSON ST,15603
175,704 N LAMAR BLVD,15604
176,909 REINLI ST,15605
177,10409 N LAMAR BLVD,15606
178,5510 CLAY AVE,15607
179,817 W NORTH LOOP BLVD,15608
180,8631 N LAMAR BLVD,15609
181,5310 CAMERON RD,15610
182,2002 ROSEWOOD AVE,15611
183,5343 BURNET RD,15612
184,811 1/2 W NORTH LOOP BLVD,15613
185,1200 N LAMAR BLVD,15614
186,3001 N LAMAR BLVD,15615
187,104 E HUNTLAND DR,15616
188,104 CHICON ST,15617
189,510 W 35TH ST,15618
190,2703 MANOR RD,15619
191,5013 DUVAL ST,15620
192,7429 BURNET RD,15621
193,1206 ALAMO ST,15622
194,1905 UNIVERSITY AVE,15623
195,207 VICTOR ST,15624
196,8908 CULLEN LN,15625
197,718 W 29TH ST,15626
198,2702 E CESAR CHAVEZ ST,15627
199,3110 E 12TH ST,15628
200,2153 W ANDERSON LN,15629
201,616 W POWELL LN,15630
202,4407 NORWOOD LN,15631
203,2511 BUELL AVE,15632
204,2501 DIAZ ST,15633
205,5101 EVANS AVE,15634
206,829 PRAIRIE TRL,15635
207,902 SAGEBRUSH DR,15636
208,822 WAGON TRL,15637
209,825 PRAIRIE TRL,15638
210,4207 GUADALUPE ST,15639
211,10290 1/2 S IH 35 SVRD SB,15640
212,2200 E 7TH ST,15641
213,1401 E CESAR CHAVEZ ST,15642
214,9420 1/2 SPECTRUM DR,15643
215,5732 BURNET RD,15644
216,4811 W BRAKER LN,15645
217,1308 HOLLY ST,15646
218,601 W 30TH ST,15647
219,2434 GUADALUPE ST,15648
220,1508 FERGUSON LN,15649
221,4333 S 1ST ST,15650
222,1906 E CESAR CHAVEZ ST,15651
223,4901 BURNET RD,15652
224,306 E OLTORF ST,15653
225,2600 BUELL AVE,15654
226,418 E HIGHLAND MALL BLVD,15655
227,5600 CAMERON RD,15656
228,1105 W 41ST ST,15657
229,2304 HIDALGO ST,15658
230,5319 N IH 35 SVRD NB,15659
231,1314 HOLLY ST,15660
232,4308 S US 183 HWY SB,15661
233,1308 E 12TH ST,15662
234,1706 S CONGRESS AVE,15663
235,705 GUNTER ST,15664
236,3528 E 7TH ST,15665
237,10411 N LAMAR BLVD,15666
238,4012 MARATHON BLVD,15667
239,452 BASTROP HWY SB,15668
240,2124 S LAMAR BLVD,15669
241,2513 SAN ANTONIO ST,15670
242,9415 N IH 35 SVRD NB,15671
243,3600 LYONS RD,15672
244,2003 GUADALUPE ST,15673
245,5306 MIDDLE FISKVILLE RD,15674
246,2538 GUADALUPE ST,15675
247,108 DENSON DR,15676
248,116 RED BIRD LN,15677
249,2941 1/2 E 12TH ST,15678
250,9601 MIDDLE FISKVILLE RD,15679
251,5326 CAMERON RD,15680
252,3708 JEFFERSON ST,15681
253,3908 AVENUE F,15682
254,5520 HELEN ST,15683
255,4207 BURNET RD,15684
256,2900 N IH 35 SVRD SB,15685
257,5700 BURNET RD,15686
258,3406 S CONGRESS AVE,15687
259,15601 N IH 35 SVRD NB,15688
260,806 MC PHAUL ST,15689
261,3118 MANOR RD,15690
262,912 W MARY ST,15691
263,818 PATTON AVE,15692
264,15100 1/2 FM 1825 RD,15693
265,2905 ELLON RD,15694
266,1110 WEST LYNN ST,15695
267,2124 1/2 E 6TH ST,15696
268,4514 WEST GATE BLVD,15697
269,602 W ANNIE ST,15698
270,103 CHALMERS AVE,15699
271,5804 BURLESON RD,15700
272,8407 N LAMAR BLVD,15701
273,407 E 30TH ST,15702
274,1156 AIRPORT BLVD,15703
275,318 E OLTORF ST,15704
276,13807 AVENUE K,15705
277,9300 ANDERSON MILL RD,15706
278,5403 S CONGRESS AVE,15707
279,5213 N LAMAR BLVD,15708
280,8500 N IH 35 SVRD SB,15709
281,906 E 12TH ST,15710
282,2015 E 7TH ST,15711
283,4015 GUADALUPE ST,15712
284,5816 N IH 35 SVRD SB,15713
285,808 E 51ST ST,15714
286,2312 SAN GABRIEL ST,15715
287,2728 S CONGRESS AVE,15716
288,1413 1/2 S 1ST ST,15717
289,1813 SINGLETON AVE,15718
290,1152 POQUITO ST,15719
291,5012 DUVAL ST,15720
292,826 AIRPORT BLVD,15721
293,11107 N LAMAR BLVD,15722
294,4406 BURNET RD,15723
295,5917 N LAMAR BLVD,15724
296,7113 WOODROW AVE,15725
297,2225 HANCOCK DR,15726
298,915 JUNIPER ST,15727
299,7500 N IH 35 SVRD SB,15728
300,1710 E CESAR CHAVEZ ST,15729
301,2210 POQUITO ST,15730
302,4508 1/2 BURNET RD,15731
303,5020 E 7TH ST,15732
304,1100 REINLI ST,15733
305,1514 HOLLY ST,15734
306,5020 E CESAR CHAVEZ ST,15735
307,7300 W SH 71,15736
308,11200 GEORGIAN DR,15737
309,6511 BURNET LN,15738
310,4326 N LAMAR BLVD,15739
311,16017 N IH 35 SVRD NB,15740
312,6534 BURNET RD,15741
313,7415 BURNET RD,15742
314,9313 N LAMAR BLVD,15743
315,13720 AVENUE K,15744
316,822 TAULBEE LN,15745
317,2904 SALADO ST,15746
318,2104 ROSEWOOD AVE,15747
319,4106 N LAMAR BLVD,15748
320,456 BASTROP HWY SB,15749
321,2100 E 6TH ST,15750
322,1616 W 5TH ST,15751
323,2519 E 5TH ST,15757
324,2810 GUADALUPE ST,16163
325,100 W MOCKINGBIRD LN,16164
326,3601 S CONGRESS AVE,16165
327,2110 WHITE HORSE TRL,16166
